order_item_id,order_id,product_id,quantity,unit_price
1,1,388,3,17632
2,1,78,1,50707
3,1,274,3,70757
4,1,67,4,66306
5,1,385,1,21580
6,2,500,2,46204
7,2,179,2,56792
8,2,80,3,20069
9,2,97,1,41608
10,2,32,3,69155
11,3,489,1,23315
12,3,177,3,13922
13,4,425,1,51818
14,4,174,1,79454
15,4,235,3,54254
16,4,306,2,25353
17,5,55,3,40336
18,6,228,3,5382
19,6,107,1,10653
20,6,35,2,45695
21,6,127,3,57664
22,6,237,3,38590
23,7,142,3,70735
24,7,395,3,39672
25,7,92,4,54117
26,7,497,1,56288
27,8,400,2,37694
28,8,109,4,63988
29,8,469,4,2726
30,8,362,2,14732
31,8,408,4,51889
32,9,103,4,34545
33,10,369,4,40264
34,10,82,1,63499
35,11,62,3,48005
36,11,284,3,46323
37,12,64,3,3420
38,12,300,2,77212
39,12,6,1,12661
40,12,88,1,7847
41,12,446,4,32657
42,13,342,1,2206
43,13,299,1,79392
44,13,369,1,59247
45,13,487,2,74875
46,13,388,3,74026
47,14,1,2,40510
48,14,19,2,79242
49,14,232,4,613
50,14,464,4,9102
51,14,416,4,23569
52,15,98,4,6750
53,15,29,3,41710
54,15,485,3,71971
55,15,88,2,6180
56,15,465,3,33550
57,16,315,3,27699
58,16,93,4,38578
59,16,252,2,43016
60,16,373,4,78292
61,17,159,2,1754
62,17,141,2,14169
63,17,261,3,27354
64,17,123,2,26309
65,17,111,2,12372
66,18,112,1,78311
67,19,397,4,67858
68,19,204,2,18406
69,19,127,4,23182
70,19,52,3,55557
71,19,448,1,78781
72,20,51,2,54323
73,20,417,3,64810
74,20,71,3,51368
75,21,279,4,73597
76,21,183,2,32898
77,21,493,3,27941
78,21,479,1,70211
79,21,448,3,38841
80,22,22,4,79100
81,22,270,3,67942
82,22,201,2,44529
83,23,51,3,64550
84,23,330,4,73005
85,24,440,1,14448
86,24,45,4,60487
87,24,378,1,71942
88,24,201,4,78371
89,24,21,3,34621
90,25,27,3,4015
91,25,190,2,26363
92,25,400,4,40207
93,25,391,1,39660
94,26,57,4,59940
95,27,364,2,11163
96,27,158,1,42148
97,27,381,2,43874
98,28,52,2,58490
99,29,457,2,34703
100,29,294,4,76705
101,29,313,2,20612
102,29,368,1,8182
103,29,229,1,58337
104,30,486,3,66979
105,30,44,3,79011
106,30,302,2,67904
107,30,400,2,15936
108,30,428,4,57335
109,31,480,4,8108
110,31,446,2,70133
111,31,252,2,34793
112,31,210,4,20032
113,31,403,3,55813
114,32,170,4,16107
115,33,211,1,70258
116,34,122,3,2191
117,35,490,1,2215
118,35,398,4,70522
119,35,488,4,9474
120,36,351,3,3340
121,37,11,4,59731
122,37,492,2,39979
123,37,18,4,3191
124,37,98,2,52334
125,38,405,3,54222
126,38,78,3,49670
127,38,23,2,46036
128,38,235,4,34635
129,39,289,2,12773
130,39,380,2,71714
131,39,293,2,42339
132,39,39,2,2273
