order_id,customer_id,order_date,status,shipper_id
1,3495,2025-10-10,Processing,2
2,642,2026-01-14,Processing,5
3,2376,2025-10-08,Processing,5
4,3224,2025-02-26,Processing,3
5,3392,2024-09-04,Cancelled,2
6,2446,2026-01-21,Processing,3
7,2394,2024-11-01,Shipped,3
8,2109,2025-10-19,Delivered,3
9,994,2026-05-05,Cancelled,5
10,4944,2024-07-15,Shipped,5
11,1987,2026-04-20,Processing,3
12,4738,2025-03-20,Cancelled,3
13,1855,2025-01-20,Processing,4
14,2162,2024-10-12,Delivered,5
15,4599,2024-11-23,Shipped,2
16,1840,2025-03-30,Delivered,5
17,2689,2024-08-21,Cancelled,2
18,4960,2026-05-24,Cancelled,2
19,4716,2025-05-15,Processing,1
20,2042,2024-12-22,Shipped,1
21,66,2024-10-02,Cancelled,2
22,502,2025-09-08,Shipped,1
23,3922,2026-06-08,Delivered,4
24,2678,2025-03-14,Processing,5
25,2849,2024-08-05,Shipped,3
26,3382,2024-08-30,Processing,3
27,3872,2025-12-12,Shipped,2
28,306,2025-03-16,Shipped,1
29,352,2024-08-15,Processing,3
30,4643,2024-08-26,Cancelled,3
31,3126,2024-07-27,Delivered,2
32,1831,2025-02-20,Delivered,1
33,1159,2024-07-17,Processing,1
34,1118,2026-04-17,Delivered,2
35,3781,2025-09-03,Processing,4
36,2919,2026-02-28,Cancelled,2
37,2710,2025-01-16,Processing,4
38,19,2025-08-22,Cancelled,1
39,4700,2026-06-14,Shipped,1
40,2139,2026-04-27,Processing,5
41,2445,2024-09-30,Shipped,3
42,2681,2025-10-01,Cancelled,4
43,1813,2024-07-02,Delivered,1
44,1826,2024-07-18,Processing,1
45,1677,2024-08-23,Processing,2
46,1561,2026-02-07,Cancelled,2
47,1112,2025-07-17,Delivered,2
48,1597,2024-10-11,Processing,4
49,2399,2024-10-24,Shipped,3
50,3331,2024-09-23,Shipped,1
51,154,2025-03-10,Processing,2
52,3693,2025-10-20,Cancelled,5
53,3247,2024-10-09,Delivered,1
54,4524,2024-12-14,Processing,2
55,4662,2025-12-04,Processing,4
56,4773,2024-12-26,Delivered,2
57,735,2025-03-28,Cancelled,4
58,2344,2024-10-26,Delivered,4
59,2159,2024-12-23,Shipped,1
60,2475,2026-06-13,Shipped,3
61,479,2025-03-17,Shipped,2
62,4396,2024-07-18,Processing,1
63,1339,2025-11-24,Shipped,5
64,4994,2025-04-30,Processing,4
65,3202,2024-12-01,Processing,2
66,3674,2024-11-29,Processing,2
67,1630,2025-02-12,Shipped,2
68,4263,2025-11-20,Shipped,5
69,1916,2025-05-29,Delivered,2
70,134,2025-03-10,Shipped,3
71,3288,2024-09-23,Delivered,2
72,1675,2026-03-21,Delivered,2
73,180,2025-04-30,Shipped,2
74,2078,2025-06-04,Cancelled,4
75,3613,2024-08-21,Delivered,1
76,3505,2025-08-23,Cancelled,3
77,88,2026-05-25,Cancelled,4
78,1164,2025-06-12,Cancelled,5
79,4997,2025-12-04,Processing,3
80,2041,2026-05-31,Delivered,2
81,2278,2025-08-24,Processing,2
82,460,2025-03-16,Delivered,2
83,1891,2025-08-29,Processing,4
84,1398,2025-03-12,Shipped,1
85,1776,2025-03-30,Processing,2
86,383,2025-09-26,Shipped,5
87,2425,2025-05-27,Cancelled,1
88,4764,2025-11-09,Delivered,1
89,3721,2025-05-14,Shipped,2
90,1085,2025-03-18,Processing,1
91,3059,2024-10-18,Delivered,4
92,3389,2025-12-13,Processing,5
93,3790,2024-10-06,Delivered,4
94,4057,2025-12-18,Processing,3
95,3391,2025-06-01,Delivered,5
96,4922,2024-10-01,Shipped,3
97,410,2025-12-01,Cancelled,3
98,4437,2024-10-17,Shipped,5
99,3611,2026-02-09,Shipped,4
100,1216,2025-10-04,Processing,5
101,526,2024-09-28,Shipped,2
102,2595,2025-08-31,Delivered,5
103,2812,2025-10-03,Cancelled,4
104,4373,2024-10-26,Processing,3
105,4155,2025-05-09,Shipped,2
106,3977,2024-12-02,Shipped,2
107,3698,2024-07-27,Delivered,2
108,817,2025-07-24,Shipped,1
109,705,2025-08-16,Delivered,1
110,4350,2025-09-09,Cancelled,5
111,344,2025-11-28,Shipped,3
112,4529,2024-11-07,Cancelled,5
113,410,2026-01-23,Delivered,4
114,406,2026-02-23,Cancelled,3
115,296,2025-09-13,Shipped,5
116,1238,2025-03-15,Processing,1
117,4815,2025-06-06,Processing,3
118,1460,2026-04-13,Processing,1
119,4047,2025-09-17,Delivered,2
120,1438,2026-02-08,Shipped,4
121,3177,2025-11-06,Processing,2
122,1805,2024-12-11,Cancelled,2
123,1340,2025-02-09,Delivered,3
124,2370,2025-09-10,Shipped,2
125,926,2026-04-26,Cancelled,2
126,3088,2025-05-07,Processing,3
127,4843,2024-09-03,Cancelled,2
128,1600,2025-09-21,Delivered,5
129,1602,2026-03-24,Shipped,3
130,2412,2024-10-01,Processing,4
131,152,2025-04-18,Processing,5
132,4249,2025-06-03,Cancelled,5
133,4909,2025-03-17,Processing,1
134,2220,2025-02-28,Cancelled,1
135,1362,2026-06-02,Delivered,3
136,3093,2025-06-12,Processing,1
137,2566,2024-11-22,Shipped,4
138,4071,2026-02-28,Processing,5
139,1489,2025-10-14,Cancelled,4
140,1714,2026-04-14,Shipped,5
141,2594,2025-12-16,Cancelled,2
142,2196,2024-09-23,Shipped,4
143,4080,2026-05-08,Cancelled,3
144,1397,2024-12-12,Shipped,3
145,4647,2026-05-11,Shipped,1
146,3428,2026-02-25,Delivered,4
147,2862,2025-10-28,Delivered,2
148,4953,2026-04-12,Shipped,1
149,3022,2025-05-13,Shipped,2
150,4854,2024-09-14,Processing,1
151,585,2024-09-14,Processing,4
152,1789,2025-09-15,Delivered,2
153,4845,2025-12-20,Processing,3
154,4765,2026-05-08,Cancelled,2
155,3571,2026-01-13,Shipped,4
156,1263,2025-11-29,Cancelled,2
157,2431,2024-07-03,Shipped,1
158,3535,2025-08-02,Cancelled,1
159,2747,2025-02-28,Processing,5
160,4214,2025-01-15,Delivered,5
161,2783,2024-09-22,Delivered,2
162,1678,2024-07-17,Delivered,2
163,4410,2024-08-12,Delivered,1
164,2234,2024-08-01,Shipped,2
165,527,2025-09-14,Delivered,2
166,1244,2024-11-04,Delivered,2
167,625,2025-01-08,Processing,3
168,4190,2025-01-19,Delivered,3
169,4410,2025-03-12,Shipped,4
170,4452,2025-02-07,Cancelled,5
171,4092,2025-11-18,Cancelled,3
172,70,2024-08-18,Delivered,5
173,899,2026-05-13,Processing,3
174,4557,2026-04-15,Delivered,4
175,2534,2026-02-19,Processing,2
176,8,2024-10-18,Delivered,4
177,1456,2026-01-01,Cancelled,4
178,4297,2025-01-22,Cancelled,2
179,2570,2025-12-21,Processing,4
180,3291,2026-05-07,Processing,4
181,2547,2025-01-10,Delivered,5
182,3567,2025-04-30,Shipped,2
183,2427,2025-06-15,Shipped,1
184,1155,2025-06-28,Cancelled,2
185,1467,2026-04-13,Delivered,2
186,1500,2024-11-22,Delivered,3
187,524,2024-10-17,Delivered,3
188,1337,2024-12-06,Processing,5
189,1778,2025-11-08,Delivered,3
190,3979,2026-02-13,Delivered,1
191,3859,2025-05-03,Cancelled,2
192,3329,2025-03-17,Processing,5
193,4316,2025-01-24,Delivered,2
194,4209,2025-12-10,Shipped,1
195,4502,2025-11-04,Delivered,1
196,1797,2024-08-25,Cancelled,4
197,3358,2026-06-25,Delivered,2
198,18,2024-09-26,Delivered,1
199,2850,2024-10-27,Shipped,2
200,4418,2024-11-19,Processing,2
201,4457,2026-02-11,Cancelled,2
202,790,2025-10-07,Delivered,3
203,381,2024-10-12,Processing,2
204,2214,2024-07-16,Shipped,5
205,1925,2024-07-04,Delivered,3
206,4532,2024-12-02,Shipped,4
207,1401,2024-08-22,Delivered,1
208,3696,2025-03-09,Cancelled,5
209,3541,2026-01-02,Shipped,4
210,3573,2024-11-19,Shipped,2
211,1453,2025-02-03,Shipped,5
212,4993,2024-07-11,Cancelled,2
213,1758,2024-10-10,Cancelled,4
214,683,2026-03-03,Processing,1
215,4443,2025-05-14,Cancelled,2
216,3258,2024-08-15,Cancelled,1
217,2031,2024-09-15,Cancelled,5
218,2497,2024-07-05,Delivered,1
219,610,2026-04-25,Shipped,2
220,4144,2025-02-03,Shipped,2
221,1849,2025-05-25,Shipped,1
222,4429,2025-01-20,Shipped,3
223,1531,2024-08-14,Cancelled,5
224,519,2025-05-12,Cancelled,3
225,163,2025-10-06,Cancelled,4
226,4039,2026-02-06,Cancelled,1
227,356,2024-11-05,Cancelled,3
228,4768,2025-01-26,Shipped,1
229,4410,2026-02-03,Delivered,3
230,2027,2024-07-17,Delivered,5
231,1044,2024-10-30,Cancelled,5
232,3643,2025-07-17,Cancelled,1
233,3774,2024-12-03,Delivered,3
234,4862,2026-03-19,Cancelled,5
235,4369,2025-05-11,Shipped,5
236,2449,2025-12-17,Processing,4
237,1460,2025-10-09,Delivered,2
238,3202,2026-05-10,Cancelled,3
239,3271,2025-06-22,Cancelled,2
240,2900,2025-01-24,Delivered,2
241,2652,2025-12-17,Cancelled,2
242,2524,2025-11-09,Shipped,3
243,2672,2025-07-22,Shipped,5
244,2236,2025-10-20,Cancelled,1
245,3641,2026-06-16,Processing,2
246,4746,2025-06-23,Delivered,4
247,2197,2024-09-15,Cancelled,2
248,3376,2024-11-03,Cancelled,5
249,2495,2025-05-01,Delivered,4
250,4703,2024-06-26,Cancelled,4
251,177,2026-05-27,Delivered,5
