payment_id,order_id,payment_method,payment_status,transaction_id
1,1,Debit Card,Paid,bca32df2-7e4
2,2,Cash on Delivery,Paid,28d14bad-0a6
3,3,Debit Card,Paid,246d9553-569
4,4,Credit Card,Paid,56654425-934
5,5,Debit Card,Paid,4e998022-9fd
6,6,Debit Card,Paid,04b06182-3d2
7,7,Net Banking,Paid,99d0f425-1f2
8,8,Debit Card,Paid,01dd312a-f73
9,9,Credit Card,Paid,3e6283a0-503
10,10,UPI,Paid,11a45ad0-4b1
11,11,Net Banking,Paid,15c307d2-47c
12,12,Credit Card,Paid,adcb1128-de0
13,13,UPI,Pending,a505aad0-1ea
14,14,Credit Card,Pending,328aea8b-442
15,15,UPI,Paid,f77cb324-d70
16,16,Credit Card,Paid,9e98e208-a63
17,17,Net Banking,Paid,9cbe625a-688
18,18,Debit Card,Paid,792113f6-a1f
19,19,Net Banking,Paid,f9cb503e-d1a
20,20,Net Banking,Paid,61e29954-049
21,21,Cash on Delivery,Paid,c8a86bca-1c1
22,22,Net Banking,Paid,e52d483c-47b
23,23,UPI,Paid,c69e9825-ea8
24,24,Cash on Delivery,Pending,75cbbd0e-10a
25,25,Debit Card,Paid,f66f02b9-79d
26,26,Cash on Delivery,Paid,8a055bee-539
27,27,UPI,Paid,76fdd46f-abd
28,28,Cash on Delivery,Paid,ff1a376b-7c0
29,29,Credit Card,Pending,0be1b24e-0b1
30,30,Debit Card,Paid,b08b6142-a3c
31,31,Net Banking,Paid,31d6bf2e-e0e
32,32,Net Banking,Paid,09fc2e8b-d6b
33,33,Net Banking,Paid,73451662-36c
34,34,Cash on Delivery,Paid,342a9a75-425
35,35,Cash on Delivery,Pending,111a8cbb-247
36,36,Debit Card,Paid,21cf2b62-d99
37,37,Credit Card,Paid,80c3c3a5-4c2
38,38,UPI,Pending,2df294e3-d55
39,39,Net Banking,Paid,5ccfb6f6-596
40,40,Cash on Delivery,Paid,e0287438-046
41,41,UPI,Pending,d50152c3-453
42,42,Credit Card,Paid,1a13edcf-21d
43,43,Credit Card,Pending,f0623342-e8c
44,44,Net Banking,Paid,8f668519-30c
45,45,Credit Card,Paid,103b9ad7-70d
46,46,Cash on Delivery,Paid,d8d6990a-7b5
47,47,UPI,Paid,723accdd-1c0
48,48,Net Banking,Pending,535f94d9-1ee
49,49,Debit Card,Paid,c2f02bff-618
50,50,UPI,Paid,f0ce1d57-6c5
